condition,controller,n,failure,cvar0_95,unsafe_frac,throughput,Tc_p95
Baseline,A10-v4-safe,224,0.03125,4.6976e-05,0.003051,0.964707,0.991673
Baseline,Pump+Radiator,224,0.325893,0.943606,0.099892,1.0,1.3643
Delay 0.5,A10-v4-safe,224,0.022321,1.143e-06,0.001079,0.92899,0.977225
Delay 0.5,Pump+Radiator,224,0.727679,1.21172,0.109479,1.0,1.41325
Delay 1.0,A10-v4-balanced,224,0.008929,4.4956e-06,0.000911,0.898742,0.951084
Delay 1.0,Pump+Radiator,224,1.0,1.13645,0.151283,1.0,1.40856
Actuator 0.8,A10-v4-safe,224,0.084821,0.008999,0.010182,0.895611,1.028617
Actuator 0.8,Pump+Radiator,224,0.410714,1.57937,0.197187,1.0,1.51867
Actuator 0.6,A10-v4-safe,224,0.21875,0.060507,0.025194,0.820892,1.094786
Actuator 0.6,Pump+Radiator,224,0.691964,2.43614,0.496722,1.0,1.65454
