rad_scale,transport_scale,storage_scale,mode,manageable_n,frontier_n,harsh_n,manageable_fail_Tc,frontier_fail_Tc,harsh_fail_Tc,manageable_fail_Tp,frontier_fail_Tp,harsh_fail_Tp,manageable_fail_Tr,frontier_fail_Tr,harsh_fail_Tr,manageable_fail_Es,frontier_fail_Es,harsh_fail_Es,manageable_fail_Pm,frontier_fail_Pm,harsh_fail_Pm,manageable_fail_G,frontier_fail_G,harsh_fail_G,manageable_fail_Y,frontier_fail_Y,harsh_fail_Y,manageable_failure,frontier_failure,harsh_failure,manageable_Y,frontier_Y,harsh_Y,manageable_unsafe,frontier_unsafe,harsh_unsafe
24.0,12.0,1.0,a10_hybrid,448,64,64,0.13616071428571427,0.75,1.0,0.008928571428571428,0.15625,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09375,0.13616071428571427,0.75,1.0,0.8879562240804949,0.849711511157464,0.8162505514059728,0.018571428571428572,0.10201822916666667,0.29364583333333333
24.0,12.0,1.0,a10_hybrid_v2,448,64,64,0.07142857142857142,0.4375,1.0,0.004464285714285714,0.078125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.4375,1.0,0.949388017306412,0.9236582643756175,0.9004552454279429,0.009319196428571428,0.05841145833333333,0.24503906250000002
24.0,12.0,1.0,no_control,448,64,64,1.0,1.0,1.0,0.9308035714285714,1.0,1.0,0.0,0.0,0.84375,0.0,0.0,0.0,0.0,0.0,0.0,0.8415178571428571,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0000000000000162,1.0000000000000162,1.0000000000000162,0.9573307291666667,0.9634505208333334,0.9673307291666666
24.0,12.0,1.0,pump_radiator,448,64,64,0.3325892857142857,1.0,1.0,0.3169642857142857,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3325892857142857,1.0,1.0,1.0000000000000162,1.0000000000000162,1.0000000000000162,0.1106845238095238,0.5118359375,0.9014973958333334
24.0,12.0,2.0,a10_hybrid,448,64,64,0.12276785714285714,0.6875,1.0,0.011160714285714286,0.140625,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.921875,0.12276785714285714,0.6875,1.0,0.8896845175186774,0.84494422130038,0.777844149287597,0.014873511904761907,0.09231770833333333,0.23811197916666668
24.0,12.0,2.0,a10_hybrid_v2,448,64,64,0.05803571428571429,0.4375,1.0,0.0,0.015625,0.953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05803571428571429,0.4375,1.0,0.9511049509801835,0.9238964869683083,0.8902610965163438,0.006850818452380953,0.058932291666666664,0.23104166666666665
24.0,12.0,2.0,no_control,448,64,64,1.0,1.0,1.0,0.9241071428571429,1.0,1.0,0.0,0.0,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.8058035714285714,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0000000000000162,1.0000000000000162,1.0000000000000162,0.9573902529761905,0.9628255208333334,0.9670442708333334
24.0,12.0,2.0,pump_radiator,448,64,64,0.33035714285714285,1.0,1.0,0.31026785714285715,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33035714285714285,1.0,1.0,1.0000000000000162,1.0000000000000162,1.0000000000000162,0.10856026785714287,0.5056640625,0.8936588541666668
24.0,12.0,4.0,a10_hybrid,448,64,64,0.08482142857142858,0.515625,1.0,0.002232142857142857,0.0,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05357142857142857,0.46875,1.0,0.13616071428571427,0.515625,1.0,0.8771471575030338,0.8052802285444638,0.7195350064949395,0.009218750000000001,0.056236979166666666,0.19911458333333334
24.0,12.0,4.0,a10_hybrid_v2,448,64,64,0.044642857142857144,0.3125,1.0,0.0,0.015625,0.96875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044642857142857144,0.3125,1.0,0.9486753776898534,0.9093346224105734,0.8507935622261867,0.004246651785714287,0.03208333333333334,0.18565104166666668
24.0,12.0,4.0,no_control,448,64,64,1.0,1.0,1.0,0.9375,1.0,1.0,0.0,0.0,0.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.8169642857142857,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0000000000000162,1.0000000000000162,1.0000000000000162,0.9574665178571429,0.9632942708333334,0.966875
24.0,12.0,4.0,pump_radiator,448,64,64,0.3236607142857143,1.0,1.0,0.31026785714285715,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3236607142857143,1.0,1.0,1.0000000000000162,1.0000000000000162,1.0000000000000162,0.10072172619047619,0.5636197916666666,0.8889322916666668
